numcol;namecol
municipio;municipio
columna_1;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2020;
columna_2;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2019;
columna_3;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2019;
columna_4;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2019;
columna_5;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2019;
columna_6;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2018;
columna_7;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2018;
columna_8;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2018;
columna_9;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2018;
columna_10;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2017;
columna_11;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2017;
columna_12;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2017;
columna_13;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2017;
columna_14;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2016;
columna_15;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2016;
columna_16;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2016;
columna_17;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2016;
columna_18;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2015;
columna_19;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2015;
columna_20;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2015;
columna_21;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2015;
columna_22;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2014;
columna_23;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2014;
columna_24;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2014;
columna_25;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2014;
columna_26;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2013;
columna_27;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2013;
columna_28;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2013;
columna_29;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2013;
columna_30;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2012;
columna_31;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2012;
columna_32;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2012;
columna_33;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2012;
columna_34;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2011;
columna_35;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2011;
columna_36;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).II Trimestre 2011;
columna_37;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).I Trimestre 2011;
columna_38;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).IV Trimestre 2010;
columna_39;Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).III Trimestre 2010;
